Title,Description,Details,Filename,Preliminary assessment: Potentially relevant?,Reviewer,Final inclusion?,Type of PC,Arm,Number of point estimates per outcome,Dichotomisation threshold(s) (%),Number of patients assumed in computing point estimate,Number of responses for point estimate,Exact point estimate(s) (%),95% confidence interval(s) reported,Reported confidence interval(s) (%),Number of bars clipped,Clip point (%)
"Low PCA3 expression is a marker of poor differentiation in localized prostate tumors: exploratory analysis from 12,076 patients.","Alshalalfa M, Verhaegh GW, Gibb EA, Santiago-Jim√©nez M, Erho N, Jordan J, Yousefi K, Lam LL, Kolisnik T, Chelissery J, Seiler R, Ross AE, Karnes RJ, Schaeffer EM, Lotan TT, Den RB, Freedland SJ, Davicioni E, Klein EA, Schalken JA.",Oncotarget. 2017 Feb 7; 8(31): 50804-50813,,No,,,,,,,,,,,,,
Biomarkers in the Management and Treatment of Men with Metastatic Castration-Resistant Prostate Cancer.,"Armstrong AJ, Eisenberger MA, Halabi S, Oudard S, Nanus DM, Petrylak DP, Sartor AO, Scher HI.",European urology. 2011 Nov 12; 61(3): 549-559,,No,,,,,,,,,,,,,
Pharmacodynamic study of radium-223 in men with bone metastatic castration resistant prostate cancer.,"Armstrong AJ, Gupta S, Healy P, Kemeny G, Leith B, Zalutsky MR, Spritzer C, Davies C, Rothwell C, Ware K, Somarelli JA, Wood K, Ribar T, Giannakakou P, Zhang J, Gerber D, Anand M, Foo WC, Halabi S, Gregory SG, George DJ.",PLoS ONE. 2019 May 28; 14(5): e0216934,,No,,,,,,,,,,,,,
Effect of a genomic classifier test on clinical practice decisions for patients with high-risk prostate cancer after surgery.,"Badani KK, Thompson DJ, Brown G, Holmes D, Kella N, Albala D, Singh A, Buerki C, Davicioni E, Hornberger J.",Bju International. 2014 Aug 11; 115(3): 419-429,,No,,,,,,,,,,,,,
A sparse differential clustering algorithm for tracing cell type changes via single-cell RNA-sequencing data.,"Barron M, Zhang S, Li J.",Nucleic Acids Research. 2017 Nov 13; 46(3): e14,,No,,,,,,,,,,,,,
"5-(4,6-Dimorpholino-1,3,5-triazin-2-yl)-4-(trifluoromethyl)pyridin-2-amine (PQR309), a Potent, Brain-Penetrant, Orally Bioavailable, Pan-Class I PI3K/mTOR Inhibitor as Clinical Candidate in Oncology.","Beaufils F, Cmiljanovic N, Cmiljanovic V, Bohnacker T, Melone A, Marone R, Jackson E, Zhang X, Sele A, Borsari C, Mestan J, Hebeisen P, Hillmann P, Giese B, Zvelebil M, Fabbro D, Williams RL, Rageot D, Wymann MP.",Journal of medicinal chemistry. 2017 Sep 1; 60(17): 7524-7538,,No,,,,,,,,,,,,,
A Phase Ib Study of Combined VEGFR and mTOR Inhibition With Vatalanib and Everolimus in Patients With Advanced Renal Cell Carcinoma.,"Bitting RL, Healy P, Creel PA, Turnbull J, Morris K, Wood SY, Hurwitz HI, Starr MD, Nixon AB, Armstrong AJ, George DJ.",Clinical genitourinary cancer. 2013 Nov 14; 12(4): 241-250,,No,,,,,,,,,,,,,
Evolving Role of Bone Biomarkers in Castration-Resistant Prostate Cancer.,"Brown JE, Sim S.","Neoplasia (New York, N.Y.). 2010 Sep; 12(9): 685-696",,No,,,,,,,,,,,,,
Phase I clinical trial of the base excision repair inhibitor methoxyamine in combination with fludarabine for patients with advanced hematologic malignancies.,"Caimi PF, Cooper BW, William BM, Dowlati A, Barr PM, Fu P, Pink J, Xu Y, Lazarus HM, de Lima M, Gerson SL.",Oncotarget. 2017 Aug 9; 8(45): 79864-79875,,No,,,,,,,,,,,,,
IL23 secreted by myeloid cells drives castration resistant prostate cancer.,"Calcinotto A, Spataro C, Zagato E, Di Mitri D, Gil V, Crespo M, De Bernardis G, Losa M, Mirenda M, Pasquini E, Rinaldi A, Sumanasuriya S, Lambros MB, Neeb A, Lucian√≤ R, Bravi CA, Nava-Rodrigues D, Dolling D, Prayer-Galetti T, Ferreira A, Briganti A, Esposito A, Barry S, Yuan W, Sharp A, de Bono J, Alimonti A.",Nature. 2018 Jun 27; 559(7714): 363-369,,No,,,,,,,,,,,,,
Reciprocal feedback regulation of PI3K and androgen receptor signaling in PTEN-deficient prostate cancer.,"Carver BS, Chapinski C, Wongvipat J, Hieronymus H, Chen Y, Chandarlapaty S, Arora VK, Le C, Koutcher J, Scher H, Scardino PT, Rosen N, Sawyers CL.",Cancer cell. 2011 May 17; 19(5): 575-586,,No,,,,,,,,,,,,,
The oestrogen receptor alpha-regulated lncRNA NEAT1 is a critical modulator of prostate cancer.,"Chakravarty D, Sboner A, Nair SS, Giannopoulou E, Li R, Hennig S, Mosquera JM, Pauwels J, Park K, Kossai M, MacDonald TY, Fontugne J, Erho N, Vergara IA, Ghadessi M, Davicioni E, Jenkins RB, Palanisamy N, Chen Z, Nakagawa S, Hirose T, Bander NH, Beltran H, Fox AH, Elemento O, Rubin MA.",Nature Communications. 2014 Nov 21; 5: 5383,,No,,,,,,,,,,,,,
Castration resistance in prostate cancer is mediated by the kinase NEK6.,"Choudhury AD, Schinzel AC, Cotter MB, Lis RT, Labella K, Lock YJ, Izzo F, Guney I, Bowden M, Li YY, Patel J, Hartman E, Carr SA, Schenone M, Jaffe JD, Kantoff PW, Hammerman PS, Hahn WC.",Cancer research. 2016 Nov 29; 77(3): 753-765,,No,,,,,,,,,,,,,
"A phase IIa, nonrandomized study of radium-223 dichloride in advanced breast cancer patients with bone-dominant disease.","Coleman R, Aksnes AK, Naume B, Garcia C, Jerusalem G, Piccart M, Vobecky N, Thuresson M, Flamen P.",Breast Cancer Research and Treatment. 2014 Apr 13; 145(2): 411-418,,No,,,,,,,,,,,,,
End points of clinical trials in metastatic castration-resistant prostate cancer: A systematic review.,"Colloca G, Venturino A, Governato I.",World Journal of Methodology. 2014 Jun 26; 4(2): 123-132,,No,,,,,,,,,,,,,
Androgen receptor expression in circulating tumour cells from castration-resistant prostate cancer patients treated with novel endocrine agents.,"Crespo M, van Dalum G, Ferraldeschi R, Zafeiriou Z, Sideris S, Lorente D, Bianchini D, Rodrigues DN, Riisnaes R, Miranda S, Figueiredo I, Flohr P, Nowakowska K, de Bono JS, Terstappen LW, Attard G.",British Journal of Cancer. 2015 Feb 26; 112(7): 1166-1174,,No,,,,,,,,,,,,,
An Adeno-Associated Virus-Based Toolkit for Preferential Targeting and Manipulating Quiescent Neural Stem Cells in the Adult Hippocampus.,"Crowther AJ, Lim SA, Asrican B, Albright BH, Wooten J, Yeh CY, Bao H, Cerri DH, Hu J, Ian Shih YY, Asokan A, Song J.",Stem Cell Reports. 2018 Mar 1; 10(3): 1146-1159,,No,,,,,,,,,,,,,
Single-cell RNA-sequencing of the brain.,"Cuevas-Diaz Duran R, Wei H, Wu JQ.",Clinical and Translational Medicine. 2017 Jun 8; 6: 20,,No,,,,,,,,,,,,,
A prospective study to investigate the role of serial serum mesothelin in monitoring mesothelioma.,"de Fonseka D, Arnold DT, Stadon L, Morley A, Keenan E, Darby M, Armstrong L, Virgo P, Maskell NA.",BMC Cancer. 2018 Feb 17; 18: 199,,No,,,,,,,,,,,,,
Efficacy of targeted AKT inhibition in genetically engineered mouse models of PTEN-deficient prostate cancer.,"De Velasco MA, Kura Y, Yoshikawa K, Nishio K, Davies BR, Uemura H.",Oncotarget. 2016 Feb 21; 7(13): 15959-15976,,No,,,,,,,,,,,,,
Androgen deprivation induces phenotypic plasticity and promotes resistance to molecular targeted therapy in a PTEN-deficient mouse model of prostate cancer.,"De Velasco MA, Tanaka M, Yamamoto Y, Hatanaka Y, Koike H, Nishio K, Yoshikawa K, Uemura H.",Carcinogenesis. 2014 Jul 1; 35(9): 2142-2153,,No,,,,,,,,,,,,,
Optimal design of trials to demonstrate the utility of¬†genomically‚Äêguided therapy: Putting Precision Cancer¬†Medicine to the test.,"Dienstmann R, Rodon J, Tabernero J.",Molecular Oncology. 2014 Jul 15; 9(5): 940-950,,No,,,,,,,,,,,,,
Responder Analysis of the Effects of Denosumab on Bone Mineral Density in Men Receiving Androgen Deprivation Therapy for Prostate Cancer.,"Egerdie B, Saad F, Smith MR, Tammela TL, Heracek J, Sieber P, Ke C, Leder B, Dansey R, Goessl C.",Prostate cancer and prostatic diseases. 2012 Sep; 15(3): 308-312,,No,,,,,,,,,,,,,
"Taxonomic revision of the rock-dwelling door snail genus Montenegrina Boettger, 1877 (Mollusca, Gastropoda, Clausiliidae).","Feh√©r Z, Szekeres M.",ZooKeys. 2016 Jun 16; (599): 1-137,,No,,,,,,,,,,,,,
Intestinal Antigen-Presenting Cells: Key Regulators of Immune Homeostasis and Inflammation.,"Flannigan KL, Geem D, Harusato A, Denning TL.",The American Journal of Pathology. 2015 Jul; 185(7): 1809-1819,,No,,,,,,,,,,,,,
Editor's Note ‚Ä¶Clinical Trial Reports: A New Section.,"Fojo T, Bates S, Chabner BA.",The Oncologist. 2012 Jan; 17(1): 11-12,,No,,,,,,,,,,,,,
Integrative Single-Cell Transcriptomics Reveals Molecular Networks Defining Neuronal Maturation During Postnatal Neurogenesis.,"Gao Y, Wang F, Eisinger BE, Kelnhofer LE, Jobe EM, Zhao X.","Cerebral Cortex (New York, NY). 2016 Mar 10; 27(3): 2064-2077",,No,,,,,,,,,,,,,
Current and Emerging Treatment Options for Castration-Resistant Prostate Cancer: A Focus on Immunotherapy.,"Gerritsen WR, Sharma P.",Journal of Clinical Immunology. 2011 Nov 4; 32(1): 25-35,,No,,,,,,,,,,,,,
Adult Neurogenesis and the Promise of Adult Neural Stem Cells.,Ghosh HS.,Journal of Experimental Neuroscience. 2019 Jun 27; 13: 1179069519856876,,No,,,,,,,,,,,,,
"PCSD1, a new patient-derived model of bone metastatic prostate cancer, is castrate-resistant in the bone-niche.","Godebu E, Muldong M, Strasner A, Wu CN, Park SC, Woo JR, Ma W, Liss MA, Hirata T, Raheem O, Cacalano NA, Kulidjian AA, Jamieson CA.",Journal of Translational Medicine. 2014 Oct 3; 12: 275,,No,,,,,,,,,,,,,
The emergence of trophoblast cell-surface antigen 2 (TROP-2) as a novel cancer target.,"Goldenberg DM, Stein R, Sharkey RM.",Oncotarget. 2018 Jun 22; 9(48): 28989-29006,,No,,,,,,,,,,,,,
Circulating Free DNA to Guide Prostate Cancer Treatment with PARP Inhibition.,"Goodall J, Mateo J, Yuan W, Mossop H, Porta N, Miranda S, Perez-Lopez R, Dolling D, Robinson D, Sandhu S, Fowler G, Ebbs B, Flohr P, Seed G, Rodrigues DN, Boysen G, Bertan C, Atkin M, Clarke M, Crespo M, Figueiredo I, Riisnaes R, Sumanasuriya S, Rescigno P, Zafeiriou Z, Sharp A, Tunariu N, Bianchini D, Gillman A, Lord CJ, Hall E, Chinnaiyan AM, Carreira S, de Bono JS.",Cancer discovery. 2017 Apr 27; 7(9): 1006-1017,,No,,,,,,,,,,,,,
An Open Label Phase 1b Dose Escalation Study of TRC105 (Anti-Endoglin Antibody) with Bevacizumab in Patients with Advanced Cancer.,"Gordon MS, Robert F, Matei D, Mendelson DS, Goldman JW, Chiorean EG, Strother RM, Seon BK, Figg WD, Peer CJ, Alvarez D, Adams BJ, Theuer CP, Rosen LS.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2014 Sep 26; 20(23): 5918-5926,,No,,,,,,,,,,,,,
Molecular Mechanisms Governing the Stem Cell‚Äôs Fate in Brain Cancer: Factors of Stemness and Quiescence.,"Gulaia V, Kumeiko V, Shved N, Cicinskas E, Rybtsov S, Ruzov A, Kagansky A.",Frontiers in Cellular Neuroscience. 2018 Nov 19; 12: 388,,No,,,,,,,,,,,,,
Comprehensive Evaluation of Programmed Death-Ligand 1 Expression in Primary and Metastatic Prostate Cancer.,"Haffner MC, Guner G, Taheri D, Netto GJ, Palsgrove DN, Zheng Q, Guedes LB, Kim K, Tsai H, Esopi DM, Lotan TL, Sharma R, Meeker AK, Chinnaiyan AM, Nelson WG, Yegnasubramanian S, Luo J, Mehra R, Antonarakis ES, Drake CG, De Marzo AM.",The American Journal of Pathology. 2018 Jun; 188(6): 1478-1485,,No,,,,,,,,,,,,,
Anakoinosis: Communicative Reprogramming of Tumor Systems - for Rescuing from Chemorefractory Neoplasia.,"Hart C, Vogelhuber M, Wolff D, Klobuch S, Ghibelli L, Foell J, Corbacioglu S, Rehe K, Haegeman G, Thomas S, Herr W, Reichle A.",Cancer Microenvironment. 2015 Aug 11; 8(2): 75-92,,No,,,,,,,,,,,,,
Micro-NMR for Rapid Molecular Analysis of Human Tumor Samples.,"Haun JB, Castro CM, Wang R, Peterson VM, Marinelli BS, Lee H, Weissleder R.",Science translational medicine. 2011 Feb 23; 3(71): 71ra16,,No,,,,,,,,,,,,,
Phase II Prospective Randomized Trial of Weight Loss Prior to Radical Prostatectomy (PCAN-17-0128).,"Henning SM, Galet C, Gollapudi K, Byrd JB, Liang P, Li Z, Grogan T, Elashoff D, Magyar CE, Said J, Cohen P, Aronson WJ.",Prostate cancer and prostatic diseases. 2017 Dec 4; 21(2): 212-220,,No,,,,,,,,,,,,,
The interaction between complement component C4b-binding protein and the vitamin K-dependent protein S forms a link between blood coagulation and the complement system..,Hessing M.,Biochemical Journal. 1991 Aug 1; 277(Pt 3): 581-592,,No,,,,,,,,,,,,,
Prostate capsule sparing versus nerve sparing radical cystectomy for bladder cancer: Results from a randomized controlled trial.,"Jacobs BL, Daignault S, Lee CT, Hafez KS, Montgomery JS, Montie JE, Humrich JE, Hollenbeck BK, Wood DP Jr, Weizer AZ.",The Journal of urology. 2014 Jul 24; 193(1): 64-70,,No,,,,,,,,,,,,,
A Computational Model of Neoadjuvant PD-1 Inhibition in Non-Small Cell Lung Cancer.,"Jafarnejad M, Gong C, Gabrielson E, Bartelink IH, Vicini P, Wang B, Narwal R, Roskos L, Popel AS.",The AAPS Journal. 2019 Jun 24; 21(5): 79,,No,,,,,,,,,,,,,
Impact of 18F-Fluciclovine PET on Target Volume Definition for Postprostatectomy Salvage Radiotherapy: Initial Findings from a Randomized Trial.,"Jani AB, Schreibmann E, Rossi PJ, Shelton J, Godette K, Nieh P, Master VA, Kucuk O, Goodman M, Halkar R, Cooper S, Chen Z, Schuster DM.",Journal of Nuclear Medicine. 2017 Mar; 58(3): 412-418,,No,,,,,,,,,,,,,
High-throughput screens identify HSP90 inhibitors as potent therapeutics that target inter-related growth and survival pathways in advanced prostate cancer.,"Jansson KH, Tucker JB, Stahl LE, Simmons JK, Fuller C, Beshiri ML, Agarwal S, Fang L, Hynes PG, Alilin AN, Lake R, Abbey YC, Cawley J, Tice CM, Yin J, McKnight C, Klummp-Thomas C, Zhang X, Guha R, Hoover S, Simpson RM, Nguyen HM, Corey E, Thomas CJ, Proia DA, Kelly K.",Scientific Reports. 2018 Nov 22; 8: 17239,,No,,,,,,,,,,,,,
MET abnormalities in patients with genitourinary malignancies and outcomes with c-MET inhibitors.,"Jardim DL, de Melo Gagliato D, Falchook G, Zinner R, Wheler JJ, Janku F, Subbiah V, Piha-Paul SA, Fu S, Tannir N, Corn P, Tang C, Hess K, Roy-Chowdhuri S, Kurzrock R, Meric-Bernstam F, Hong DS.",Clinical genitourinary cancer. 2014 Jul 3; 13(1): e19-e26,,No,,,,,,,,,,,,,
Prostate-specific membrane antigen cleavage of vitamin B9 stimulates oncogenic signaling through metabotropic glutamate receptors.,"Kaittanis C, Andreou C, Hieronymus H, Mao N, Foss CA, Eiber M, Weirich G, Panchal P, Gopalan A, Zurita J, Achilefu S, Chiosis G, Ponomarev V, Schwaiger M, Carver BS, Pomper MG, Grimm J.",The Journal of Experimental Medicine. 2018 Jan 2; 215(1): 159-175,,No,,,,,,,,,,,,,
Biomarker Development in the Context of Urologic Cancers.,"Kelloff GJ, Sigman CC, Scher HI.",Urologic oncology. 2015 Mar 5; 33(6): 295-301,,No,,,,,,,,,,,,,
Rationale for an early detection program for bladder cancer.,Khochikar MV.,Indian Journal of Urology : IJU : Journal of the Urological Society of India. 2011 Apr-Jun; 27(2): 218-225,,No,,,,,,,,,,,,,
Genome-wide DNA methylation measurements in prostate tissues uncovers novel prostate cancer diagnostic biomarkers and transcription factor binding patterns.,"Kirby MK, Ramaker RC, Roberts BS, Lasseigne BN, Gunther DS, Burwell TC, Davis NS, Gulzar ZG, Absher DM, Cooper SJ, Brooks JD, Myers RM.",BMC Cancer. 2017 Apr 17; 17: 273,,No,,,,,,,,,,,,,
IMA901: A multi-peptide cancer vaccine for treatment of renal cell cancer.,"Kirner A, Mayer-Mokler A, Reinhardt C.",Human Vaccines & Immunotherapeutics. 2015 Jan 27; 10(11): 3179-3189,,No,,,,,,,,,,,,,
"IBC‚Äôs 23rd Annual Antibody Engineering, 10th Annual Antibody Therapeutics International Conferences and the 2012 Annual Meeting of The Antibody Society: December 3‚Äì6, 2012, San Diego, CA.","Kl√∂hn PC, Wuellner U, Zizlsperger N, Zhou Y, Tavares D, Berger S, Zettlitz KA, Proetzel G, Yong M, Begent RH, Reichert JM.",mAbs. 2013 Mar 1; 5(2): 178-201,,No,,,,,,,,,,,,,
Adult Hippocampal Neurogenesis: A Coming-of-Age Story.,"Kuhn HG, Toda T, Gage FH.",The Journal of Neuroscience. 2018 Dec 5; 38(49): 10401-10410,,No,,,,,,,,,,,,,
Identification of miR-30b-3p and miR-30d-5p as direct regulators of androgen receptor signaling in prostate cancer by complementary functional microRNA library screening.,"Kumar B, Khaleghzadegan S, Mears B, Hatano K, Kudrolli TA, Chowdhury WH, Yeater DB, Ewing CM, Luo J, Isaacs WB, Marchionni L, Lupold SE.",Oncotarget. 2016 Sep 24; 7(45): 72593-72607,,No,,,,,,,,,,,,,
High-fat diet fuels prostate cancer progression by rewiring the metabolome and amplifying the MYC program.,"Labb√© DP, Zadra G, Yang M, Reyes JM, Lin CY, Cacciatore S, Ebot EM, Creech AL, Giunchi F, Fiorentino M, Elfandy H, Syamala S, Karoly ED, Alshalalfa M, Erho N, Ross A, Schaeffer EM, Gibb EA, Takhar M, Den RB, Lehrer J, Karnes RJ, Freedland SJ, Davicioni E, Spratt DE, Ellis L, Jaffe JD, D ºAmico AV, Kantoff PW, Bradner JE, Mucci LA, Chavarro JE, Loda M, Brown M.",Nature Communications. 2019 Sep 25; 10: 4358,,No,,,,,,,,,,,,,
Combination therapy for hepatocellular carcinoma: Additive preclinical efficacy of the HDAC inhibitor panobinostat with sorafenib.,"Lachenmayer A, Toffanin S, Cabellos L, Alsinet C, Hoshida Y, Villanueva A, Minguez B, Tsai HW, Ward SC, Thung S, Friedman SL, Llovet JM.",Journal of Hepatology. 2012 Feb 6; 56(6): 1343-1350,,No,,,,,,,,,,,,,
A dose-ranging study of cabozantinib in men with castration-resistant prostate cancer and bone metastases.,"Lee RJ, Saylor PJ, Michaelson MD, Rothenberg SM, Smas ME, Miyamoto DT, Gurski CA, Xie W, Maheswaran S, Haber DA, Goldin JG, Smith MR.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2013 Apr 3; 19(11): 3088-3094,,No,,,,,,,,,,,,,
Microbiome diversity in carriers of fluoroquinolone resistant Escherichia coli.,"Liss MA, Leach RJ, Rourke E, Sherrill A, Johnson-Pais T, Lai Z, Basler J, White JR, Patterson JE.",Investigative and Clinical Urology. 2019 Feb 27; 60(2): 75-83,,No,,,,,,,,,,,,,
"Eastern Cooperative Oncology Group Phase II Trial of Lapatinib in Men with Biochemically Relapsed, Androgen Dependent Prostate Cancer.","Liu G, Chen YH, Kolesar J, Huang W, DiPaola R, Pins M, Carducci M, Stein M, Bubley GJ, Wilding G.",Urologic oncology. 2011 Jul 23; 31(2): 211-218,,No,,,,,,,,,,,,,
"Novel and interesting Ophiocordyceps spp. (Ophiocordycipitaceae, Hypocreales) with superficial perithecia from Thailand.","Luangsa-ard J, Tasanathai K, Thanakitpipattana D, Khonsanit A, Stadler M.",Studies in Mycology. 2018 Feb 17; 89: 125-142,,No,,,,,,,,,,,,,
The Androgen-Regulated Protease TMPRSS2 Activates aProteolytic Cascade Involving Components of the Tumor Microenvironment and Promotes Prostate Cancer Metastasis.,"Lucas JM, Heinlein C, Kim T, Hernandez SA, Malik MS, True LD, Morrissey C, Corey E, Montgomery B, Mostaghel E, Clegg N, Coleman I, Brown CM, Schneider EL, Craik C, Simon J, Bedalov T, Nelson PS.",Cancer discovery. 2014 Aug 13; 4(11): 1310-1325,,No,,,,,,,,,,,,,
Methylated Glutathione S-transferase 1 (mGSTP1) is a potential plasma free DNA epigenetic marker of prognosis and response to chemotherapy in castrate-resistant prostate cancer.,"Mahon KL, Qu W, Devaney J, Paul C, Castillo L, Wykes RJ, Chatfield MD, Boyer MJ, Stockler MR, Marx G, Gurney H, Mallesara G, Molloy PL, Horvath LG, Clark SJ, PRIMe consortium.",British Journal of Cancer. 2014 Aug 21; 111(9): 1802-1809,,No,,,,,,,,,,,,,
Target volume definition for post prostatectomy radiotherapy: Do the consensus guidelines correctly define the inferior border of the CTV?.,"Manji M, Crook J, Schmid M, Rajapakshe R.",Reports of Practical Oncology and Radiotherapy. 2016 Sep 1; 21(6): 525-531,,No,,,,,,,,,,,,,
Small Molecule Activators of Protein Phosphatase 2A for the Treatment of Castration-Resistant Prostate Cancer.,"McClinch K, Avelar RA, Callejas D, Izadmehr S, Wiredja D, Perl A, Sangodkar J, Kastrinsky D, Schlatzer D, Cooper M, Kiselar J, Stachnik A, Yao S, Hoon D, McQuaid D, Zaware N, Gong Y, Brautigan D, Plymate S, Sprenger C, Oh WK, Levine AC, Kirschenbaum A, Sfakianos J, Sears R, DiFeo A, Ioannou Y, Ohlmeyer M, Narla G, Galsky MD.",Cancer research. 2018 Jan 22; 78(8): 2065-2080,,No,,,,,,,,,,,,,
Real-Time Immune Monitoring to Guide Plasmid DNA Vaccination Schedule Targeting Prostatic Acid Phosphatase (PAP) in Patients with Castration-Resistant Prostate Cancer.,"McNeel DG, Becker JT, Eickhoff JC, Johnson LE, Bradley E, Pohlkamp I, Staab MJ, Liu G, Wilding G, Olson BM.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2014 May 21; 20(14): 3692-3704,,No,,,,,,,,,,,,,
Phase I trial of tremelimumab in combination with short-term androgen deprivation in patients with PSA-recurrent prostate cancer.,"McNeel DG, Smith HA, Eickhoff JC, Lang JM, Staab MJ, Wilding G, Liu G.","Cancer Immunology, Immunotherapy. 2011 Dec 31; 61(7): 1137-1147",,No,,,,,,,,,,,,,
Elevated Serum MicroRNA Levels Associate with Absence of High-Grade Prostate Cancer in a Retrospective Cohort.,"Mihelich BL, Maranville JC, Nolley R, Peehl DM, Nonn L.",PLoS ONE. 2015 Apr 14; 10(4): e0124245,,No,,,,,,,,,,,,,
Stromal epigenetic alterations drive metabolic and neuroendocrine prostate cancer reprogramming.,"Mishra R, Haldar S, Placencio V, Madhav A, Rohena-Rivera K, Agarwal P, Duong F, Angara B, Tripathi M, Liu Z, Gottlieb RA, Wagner S, Posadas EM, Bhowmick NA.",The Journal of Clinical Investigation. 2018 Jul 26; 128(10): 4472-4484,,No,,,,,,,,,,,,,
"The insulin-like growth factor-I receptor inhibitor figitumumab (CP-751,871) in combination with docetaxel in patients with advanced solid tumours: results of a phase Ib dose-escalation, open-label study.","Molife LR, Fong PC, Paccagnella L, Reid AH, Shaw HM, Vidal L, Arkenau HT, Karavasilis V, Yap TA, Olmos D, Spicer J, Postel-Vinay S, Yin D, Lipton A, Demers L, Leitzel K, Gualberto A, de Bono JS.",British Journal of Cancer. 2010 Jul 13; 103(3): 332-339,,No,,,,,,,,,,,,,
Enhancing the effectiveness of androgen deprivation in prostate cancer by inducing Filamin A nuclear localization.,"Mooso BA, Vinall RL, Tepper CG, Savoy RM, Cheung JP, Singh S, Siddiqui S, Wang Y, Bedolla RG, Martinez A, Mudryj M, Kung HJ, deVere White RW, Ghosh PM.",Endocrine-related cancer. 2012 Nov 9; 19(6): 10.1530/ERC-12-0171,,No,,,,,,,,,,,,,
Fine processes of Nestin-GFP‚Äìpositive radial glia-like stem cells in the adult dentate gyrus ensheathe local synapses and vasculature.,"Moss J, Gebara E, Bushong EA, S√°nchez-Pascual I, O‚ÄôLaoi R, El M‚ÄôGhari I, Kocher-Braissant J, Ellisman MH, Toni N.",Proceedings of the National Academy of Sciences of the United States of America. 2016 Apr 18; 113(18): E2536-E2545,,No,,,,,,,,,,,,,
CD38 is methylated in prostate cancer and regulates extracellular NAD+.,"Mottahedeh J, Haffner MC, Grogan TR, Hashimoto T, Crowell PD, Beltran H, Sboner A, Bareja R, Esopi D, Isaacs WB, Yegnasubramanian S, Rettig MB, Elashoff DA, Platz EA, De Marzo AM, Teitell MA, Goldstein AS.",Cancer & Metabolism. 2018 Sep 21; 6: 13,,No,,,,,,,,,,,,,
ERG signaling in prostate cancer is driven through PRMT5-dependent methylation of the Androgen Receptor.,"Mounir Z, Korn JM, Westerling T, Lin F, Kirby CA, Schirle M, McAllister G, Hoffman G, Ramadan N, Hartung A, Feng Y, Kipp DR, Quinn C, Fodor M, Baird J, Schoumacher M, Meyer R, Deeds J, Buchwalter G, Stams T, Keen N, Sellers WR, Brown M, Pagliarini RA.",eLife. 2016 May 16; 5: e13964,,No,,,,,,,,,,,,,
PULMONARY CIRCULATION AT EXERCISE.,"NAEIJE R, CHESLER N.",Comprehensive Physiology. 2012 Jan 1; 2(1): 711-741,,No,,,,,,,,,,,,,
Genome-wide analysis of androgen receptor binding and transcriptomic analysis in mesenchymal subsets during prostate development.,"Nash C, Boufaied N, Badescu D, Wang YC, Paliouras M, Trifiro M, Ragoussis I, Thomson AA.",Disease Models & Mechanisms. 2019 Jul 25; 12(7): dmm039297,,No,,,,,,,,,,,,,
Therapy-induced developmental reprogramming of prostate cancer cells and acquired therapy resistance.,"Nouri M, Caradec J, Lubik AA, Li N, Hollier BG, Takhar M, Altimirano-Dimas M, Chen M, Roshan-Moniri M, Butler M, Lehman M, Bishop J, Truong S, Huang SC, Cochrane D, Cox M, Collins C, Gleave M, Erho N, Alshalafa M, Davicioni E, Nelson C, Gregory-Evans S, Karnes RJ, Jenkins RB, Klein EA, Buttyan R.",Oncotarget. 2017 Jan 27; 8(12): 18949-18967,,No,,,,,,,,,,,,,
Exploiting AR Regulated Drug Transport to Induce Sensitivity to the Survivin Inhibitor YM155.,"Nyquist MD, Corella A, Burns J, Coleman I, Gao S, Tharakan R, Riggan L, Cai C, Corey E, Nelson PS, Mostaghel EA.",Molecular cancer research : MCR. 2017 May; 15(5): 521-531,,No,,,,,,,,,,,,,
Predictive factors for response to salvage stereotactic body radiotherapy in oligorecurrent prostate cancer limited to lymph nodes: a single institution experience.,"Oehler C, Zimmermann M, Adam L, Curschmann J, Sumila M, Strebel RT, Cathomas R, Li Q, Schneider U, Zwahlen DR.",BMC Urology. 2019 Sep 9; 19: 84,,No,,,,,,,,,,,,,
Changes in prostate gene expression in men undergoing an intensive nutrition and lifestyle intervention.,"Ornish D, Magbanua MJ, Weidner G, Weinberg V, Kemp C, Green C, Mattie MD, Marlin R, Simko J, Shinohara K, Haqq CM, Carroll PR.",Proceedings of the National Academy of Sciences of the United States of America. 2008 Jun 16; 105(24): 8369-8374,,No,,,,,,,,,,,,,
Clinical benefit in Phase-I trials of novel molecularly targeted agents: does dose matter?.,"Postel-Vinay S, Arkenau HT, Olmos D, Ang J, Barriuso J, Ashley S, Banerji U, De-Bono J, Judson I, Kaye S.",British Journal of Cancer. 2009 Apr 28; 100(9): 1373-1378,,No,,,,,,,,,,,,,
Dose-Escalated Stereotactic Body Radiation Therapy for Prostate Cancer: Quality-of-Life Comparison of Two Prospective Trials.,"Quon HC, Musunuru HB, Cheung P, Pang G, Mamedov A, D‚ÄôAlimonte L, Deabreu A, Zhang L, Loblaw A.",Frontiers in Oncology. 2016 Aug 29; 6: 185,,No,,,,,,,,,,,,,
